abaca	абака
frost	мороз
frost-bite	отмороженное место
frost-bitten	обмороженный
frost-bound	скованный морозом
frost-cleft	зяблина
frost-hardy	морозостойкий (о растениях)
frost-work	ледяной узор (на стекле)
frosted	тронутый морозом
frostily	холодно
frosting	глазировка
frosty	морозный
froth	пена
froth-blower	завсегдатай пивных
frothy	пенистый
frou-frou	шуршание (шелка)
frounce	завивать
frown	сдвинутые брови
frowst	спертый
frowsy	затхлый
frowzy	затхлый
frozen	замерзший
fructiferous	плодоносящий
fructification	плодоношение
fructify	оплодотворять
fructose	фруктоза
frugal	бережливый
frugality	бережливость
fruit	плод
fruit-cake	кекс с изюмом/смородиной
fruit-grower	садовод
fruit-knife	нож для фруктов
fruit-piece	натюрморт с фруктами
fruit-sugar	фруктоза
fruit-tree	плодовое дерево
fruitage	плодоношение
fruitarian	человек
fruiter	плодовое дерево
fruiterer	торговец фруктами
fruitful	плодовитый
fruitgrowing	садоводство
fruition	пользование какими-л. благами
fruitless	бесплодный
fruity	похожий на фрукты (по вкусу , запаху и т. п.)
